
2020-09-25 00:07:28;22,3;95,0;1.,
2020-09-25 00:11:13;22,3;95,0;1.,
2020-09-25 00:12:13;22,3;95,0;1.,
2020-09-25 00:13:13;22,3;95,0;1.,
2020-09-25 00:14:14;22,3;95,0;1.,
2020-09-25 00:15:14;22,3;95,0;1.,
2020-09-25 00:16:14;22,3;95,0;1.,
2020-09-25 00:17:15;22,3;95,0;2.,
2020-09-25 00:18:16;22,3;95,0;1.,
2020-09-25 00:19:16;22,3;95,0;1.,
2020-09-25 00:20:16;22,2;95,0;2.,
2020-09-25 00:21:17;22,3;95,0;1.,
2020-09-25 00:22:19;22,3;95,0;1.,
2020-09-25 00:23:20;22,3;95,0;1.,
2020-09-25 00:24:20;22,3;95,0;1.,
2020-09-25 00:25:20;22,2;95,0;1.,
2020-09-25 00:26:21;22,3;95,0;1.,
2020-09-25 00:27:21;22,3;95,0;1.,
2020-09-25 00:28:21;22,3;95,0;1.,
2020-09-25 00:29:21;22,3;95,0;1.,
2020-09-25 00:30:24;22,3;95,0;1.,
2020-09-25 00:31:30;22,3;95,0;1.,
2020-09-25 00:32:35;22,3;95,0;1.,
2020-09-25 00:33:40;22,3;95,0;1.,
2020-09-25 00:34:43;22,3;95,0;1.,
2020-09-25 00:35:45;22,2;95,0;1.,
2020-09-25 00:36:45;22,2;95,0;1.,
2020-09-25 00:37:45;22,3;95,0;1.,
2020-09-25 00:38:46;22,3;95,0;1.,
2020-09-25 00:39:46;22,3;95,0;1.,
2020-09-25 00:40:46;22,3;95,0;1.,
2020-09-25 00:41:46;22,3;95,0;1.,
2020-09-25 00:42:47;22,3;95,0;1.,
2020-09-25 00:43:48;22,3;95,0;1.,
2020-09-25 00:44:50;22,3;95,0;1.,
2020-09-25 00:45:51;22,2;95,0;1.,
2020-09-25 00:46:53;22,3;95,0;1.,
2020-09-25 00:47:53;22,3;95,0;1.,
2020-09-25 00:48:53;22,3;95,0;1.,
2020-09-25 00:49:53;22,3;95,0;1.,
